Edad;Sexo;Alcance;Impresiones;Frecuencia;Resultados;Costo por resultado;Importe gastado (USD);CPM (costo por mil impresiones);Clics en el enlace;CPC (Enlace);CTR (Enlace);ROAS;Tasa de resultados;Clics (todos);CPC (Anuncio);CTR (Anuncio);Comentarios de la publicación;Reacciones a la publicación;Interacción con una publicación;Veces que se compartió la publicación;Valor de conversión de compras;Pagos iniciados;Costo por pago iniciado
25-34;unknown;120;121;1.008.333.333;;;1.26;1.041.272.607;3;0.41997995;2.479.338.843;;;3;0.41997995;247.933.884;;1;53;1;;;
35-44;unknown;88;88;1;;;1.25;1.420.491.358;1;12.500.324;1.136.363.636;;;2;0.6250162;227.272.727;;;34;;;;
18-24;unknown;117;117;1;;;1.20;1.025.641.026;1;1.2;0.854700855;;;6;0.2;512.820.513;;;37;;;1;1.2
65+;male;56;65;1.160.714.286;;;1.18;1.815.384.615;;;;;;1;1.18;153.846.154;;;37;;;;
45-54;unknown;78;78;1;;;1.16;1.487.108.498;3;0.38664821;3.846.153.846;;;3;0.38664821;384.615.385;;1;46;;;;
55-64;female;30;30;1;;;1.11;37;1;1.11;3.333.333.333;;;1;1.11;333.333.333;;;13;;;;
25-34;unknown;90;90;1;;;1.10;1.222.253.897;1;110.002.851;1.111.111.111;;;3;0.36667617;333.333.333;;1;32;;;;
25-34;unknown;100;100;1;;;1.10;11;2;0.55;2;;;3;0.36666667;3;;2;43;1;;1;1.1
45-54;unknown;32;32;1;;;1.09;340.625;;;;;;0;;0;;;10;;;;
18-24;unknown;134;134;1;;;1.08;80.596.402;4;0.26999795;2.985.074.627;;;7;0.15428454;52.238.806;;;55;;;;
55-64;male;109;109;1;;;1.06;972.477.064;2;0.53;1.834.862.385;;;4;0.265;366.972.477;;1;72;;;;
18-24;male;172;184;1.069.767.442;;;1.06;576.086.957;2;0.53;1.086.956.522;;;4;0.265;217.391.304;;;75;1;;;
18-24;female;112;112;1;;;1.05;9.375;2;0.525;1.785.714.286;;;3;0.35;267.857.143;;;35;;;2;0.525
25-34;unknown;32;88;2.75;;;1.05;1.193.181.818;3;0.35;3.409.090.909;;;4;0.2625;454.545.455;;;35;;;;
65+;male;56;61;1.089.285.714;;;1.03;168.852.459;;;;;;0;;0;;;40;;;;
18-24;unknown;64;100;15.625;;;1.02;1.019.996.587;1;101.999.659;1;;;5;0.20399932;5;;;36;;;2;0.50999829
65+;male;39;39;1;;;1.01;258.974.359;1;1.01;2.564.102.564;;;1;1.01;256.410.256;;;24;;;;
55-64;male;32;32;1;;;0.99;309.375;2;0.495;6.25;;;3;0.33;9.375;;;13;;;;
55-64;male;91;91;1;;;0.98;1.076.923.077;2;0.49;2.197.802.198;;;3;0.32666667;32.967.033;;;56;;;1;0.98
