MONEDA; MONTODEUDASOL ;EQUIPO;Fecha Desembolso;Dias desde Desembolso;TEA DESEMBOLSO PROMEDIO (%);TEA OFERTA;NIVEL DE PRIORIDAD;
SOLES;312698;Bex Digital 11;1/9/2020;201;5,84%;5,00%;Prioridad 4;
SOLES;229261;Bex Digital 18;1/9/2020;201;5,84%;5,00%;Prioridad 4;
SOLES;276143;Bex Digital 18;1/1/2019;810;7,86%;6,86%;Prioridad 3;
SOLES;273968;Bex Digital 7 ;1/7/2019;629;7,01%;6,01%;Prioridad 4;
SOLES;222107;Bex Digital 9 ;1/7/2020;263;6,44%;5,44%;Prioridad 3;
SOLES;247387;Bex Digital 20;1/12/2019;476;6,84%;5,84%;Prioridad 4;
SOLES;446556;Bex Digital 5 ;1/6/2019;659;7,98%;6,98%;Prioridad 4;
SOLES;215767;Bex Digital 5 ;1/8/2020;232;6,07%;5,07%;Prioridad 3;
SOLES;288528;Bex Digital 11;1/9/2019;567;7,18%;6,18%;Prioridad 4;
SOLES;254346;Bex Digital 7 ;1/8/2018;963;7,40%;6,40%;Prioridad 3;
SOLES;436730;Bex Digital 19;1/9/2020;201;5,84%;5,00%;Prioridad 4;
SOLES;304516;Bex Digital 14;1/6/2020;293;6,59%;5,59%;Prioridad 3;
SOLES;236320;Bex Digital 14;1/7/2019;629;7,01%;6,01%;Prioridad 4;
SOLES;1053830;Bex Digital 3 ;1/11/2020;140;6,37%;5,37%;Prioridad 4;
SOLES;816222;Bex Digital 19;1/10/2019;537;6,96%;5,96%;Prioridad 4;
SOLES;359325;Bex Digital 2 ;1/6/2020;293;6,59%;5,59%;Prioridad 3;
SOLES;372291;Bex Digital 20;1/10/2018;902;7,05%;6,05%;Prioridad 1;
SOLES;211602;Bex Digital 16;1/9/2020;201;5,84%;5,00%;Prioridad 4;
SOLES;299578;Bex Digital 16;1/9/2020;201;5,84%;5,00%;Prioridad 4;
SOLES;422434;Bex Digital 11;1/9/2020;201;5,84%;5,00%;Prioridad 4;
SOLES;485323;Bex Digital 10;1/1/2018;1175;7,67%;6,67%;Prioridad 4;
SOLES;427078;Bex Digital 16;1/7/2020;263;6,44%;5,44%;Prioridad 3;
SOLES;426269;Bex Digital 19;1/10/2019;537;6,96%;5,96%;Prioridad 4;
SOLES;737280;Bex Digital 7 ;1/9/2020;201;5,84%;5,00%;Prioridad 4;
SOLES;706272;Bex Digital 1;1/10/2020;171;6,10%;5,10%;Prioridad 4;
SOLES;469104;Bex Digital 18;1/9/2019;567;7,18%;6,18%;Prioridad 4;
SOLES;312941;Bex Digital 11;1/7/2020;263;6,44%;5,44%;Prioridad 3;
SOLES;388704;Bex Digital 2 ;1/12/2016;1571;8,57%;7,57%;Prioridad 4;
SOLES;684350;Bex Digital 11;1/9/2018;932;7,00%;6,00%;Prioridad 2;
