Edad;Sexo;Alcance;Impresiones;Frecuencia;Resultados;Costo por resultado;Importe gastado (USD);CPM (costo por mil impresiones);Clics en el enlace;CPC (costo por clic en el enlace);CTR (porcentaje de clics en el enlace);ROAS;Tasa de resultados;Clics (todos);CPC (todos);CTR (todos);Comentarios de la publicación;Reacciones a la publicación;Interacción con una publicación;Veces que se compartió la publicación;Valor de conversión de compras;Pagos iniciados;Costo por pago iniciado;;;;;;;;
18-24;male;56;81;1.45;;;0.71;8.7654321;;;;;;1;0.710;1.23;;;33;2;;;;;;;;;;;
35-44;unknown;56;71;1.27;;;0.68;9.57746479;;;;;;1;0.680;1.41;;1;26;;;;;;;;;;;;
45-54;unknown;30;30;1.00;;;0.67;22.33429943;3;0.223;10.000;;;3;0.223;10.00;;;18;;;;;;;;;;;;
35-44;unknown;50;50;1.00;;;0.67;13.4;;;;;;0;;0.00;;;28;;;;;;;;;;;;
35-44;female;76;76;1.00;;;0.66;8.68421053;;;;;;0;;0.00;;1;28;;;;;;;;;;;;
65+;male;54;54;1.00;;;0.66;12.22222222;;;;;;0;;0.00;;;34;;;;;;;;;;;;
45-54;unknown;31;31;1.00;;;0.66;21.29032258;;;;;;0;;0.00;;;17;;;;;;;;;;;;
25-34;female;96;96;1.00;;;0.65;6.77083333;;;;;;2;0.325;2.08;1;;37;;;;;;;;;;;;
55-64;female;15;15;1.00;;;0.64;42.66666667;;;;;;0;;0.00;;;6;;;;;;;;;;;;
25-34;unknown;54;54;1.00;;;0.64;11.85185185;1;0.640;1.852;;;1;0.640;1.85;;;27;;;1;0.64;;;;;;;;
45-54;unknown;34;34;1.00;;;0.63;18.52989198;;;;;;0;;0.00;;;15;;;;;;;;;;;;
18-24;male;76;84;1.11;;;0.62;7.38150838;;;;;;0;;0.00;;1;28;;;;;;;;;;;;
55-64;unknown;14;14;1.00;;;0.62;44.28571429;;;;;;0;;0.00;;;10;;;;;;;;;;;;
35-44;unknown;44;44;1.00;;;0.62;14.09090909;1;0.620;2.273;;;1;0.620;2.27;;1;15;;;;;;;;;;;;
35-44;unknown;44;51;1.16;;;0.62;12.15686275;;;;;;1;0.620;1.96;;;19;;;;;;;;;;;;
35-44;female;45;45;1.00;;;0.62;13.77777778;;;;;;0;;0.00;;;10;;;;;;;;;;;;
45-54;unknown;16;20;1.25;;;0.61;30.5;;;;;;0;;0.00;;;12;;;;;;;;;;;;
25-34;female;67;67;1.00;;;0.60;8.95522388;;;;;;0;;0.00;;;12;;;;;;;;;;;;
65+;male;49;49;1.00;;;0.59;12.04081633;1;0.590;2.041;;;1;0.590;2.04;;;29;1;;;;;;;;;;;
18-24;unknown;16;59;3.69;;;0.59;10;;;;;;1;0.590;1.69;;;18;;;;;;;;;;;;
18-24;female;78;79;1.01;;;0.58;7.34177215;2;0.290;2.532;;;3;0.193;3.80;;1;28;;;;;;;;;;;;
65+;female;7;8;1.14;;;0.57;71.25;;;;;;0;;0.00;;;;;;;;;;;;;;;
65+;unknown;8;9;1.13;;;0.57;63.33333333;;;;;;1;0.570;11.11;;;7;;;;;;;;;;;;
25-34;unknown;39;39;1.00;;;0.57;14.61538462;;;;;;0;;0.00;;;14;;;;;;;;;;;;
35-44;unknown;35;35;1.00;;;0.56;16.00120527;1;0.560;2.857;;;1;0.560;2.86;;1;18;;;;;;;;;;;;
18-24;unknown;95;95;1.00;;;0.56;5.89473684;;;;;;0;;0.00;;;34;;;;;;;;;;;;
35-44;unknown;32;47;1.47;;;0.55;11.70212766;;;;;;1;0.550;2.13;;;17;;;;;;;;;;;;
65+;male;30;30;1.00;;;0.54;18;1;0.540;3.333;;;1;0.540;3.33;;;14;;;;;;;;;;;;
65+;male;42;42;1.00;;;0.52;12.38095238;1;0.520;2.381;;;2;0.260;4.76;;;30;;;;;;;;;;;;
18-24;female;88;89;1.01;;;0.51;5.73033708;;;;;;0;;0.00;;;23;;;;;;;;;;;;
25-34;unknown;29;29;1.00;;;0.51;17.5862069;;;;;;1;0.510;3.45;;;10;;;;;;;;;;;;
45-54;unknown;12;20;1.67;;;0.49;24.5;1;0.490;5.000;;;1;0.490;5.00;;;8;;;1;0.49;;;;;;;;
35-44;female;71;71;1.00;;;0.49;6.90140845;;;;;;1;0.490;1.41;;;25;;;;;;;;;;;;
45-54;female;29;29;1.00;;;0.49;16.89655172;1;0.490;3.448;;;1;0.490;3.45;;1;14;;;;;;;;;;;;
25-34;unknown;48;57;1.19;;;0.48;8.42105263;;;;;;0;;0.00;;;22;;;;;;;;;;;;
35-44;unknown;53;53;1.00;;;0.48;9.05660377;2;0.240;3.774;;;3;0.160;5.66;;;21;;;;;;;;;;;;
45-54;unknown;8;18;2.25;;;0.47;26.11111111;1;0.470;5.556;;;1;0.470;5.56;;;12;;;;;;;;;;;;
45-54;unknown;29;29;1.00;;;0.47;16.20689655;;;;;;0;;0.00;;;20;;;;;;;;;;;;
55-64;unknown;12;13;1.08;;;0.46;35.38461538;;;;;;0;;0.00;;;9;;;;;;;;;;;;
25-34;unknown;41;41;1.00;;;0.46;11.2195122;;;;;;0;;0.00;;;13;;;;;;;;;;;;
55-64;unknown;8;17;2.13;;;0.46;27.05882353;;;;;;0;;0.00;;;9;;;;;;;;;;;;
25-34;unknown;44;47;1.07;;;0.45;9.57446809;;;;;;0;;0.00;;1;19;1;;;;;;;;;;;
45-54;unknown;16;17;1.06;;;0.44;25.88235294;1;0.440;5.882;;;2;0.220;11.76;;1;8;;;;;;;;;;;;
18-24;unknown;8;40;5.00;;;0.44;10.99984444;1;0.440;2.500;;;2;0.220;5.00;;;17;;;;;;;;;;;;
25-34;unknown;30;30;1.00;;;0.43;14.33441306;;;;;;2;0.215;6.67;;2;17;1;;;;;;;;;;;
25-34;female;77;77;1.00;;;0.43;5.58441558;;;;;;0;;0.00;;2;28;1;;;;;;;;;;;
35-44;unknown;38;38;1.00;;;0.42;11.0531097;;;;;;0;;0.00;;;14;;;;;;;;;;;;
25-34;unknown;38;38;1.00;;;0.42;11.05263158;;;;;;0;;0.00;;;17;;;;;;;;;;;;
25-34;unknown;40;52;1.30;;;0.41;7.88461538;;;;;;0;;0.00;1;1;23;;;;;;;;;;;;
55-64;unknown;0;25;0.00;;;0.41;16.4;1;0.410;4.000;;;1;0.410;4.00;;;13;;;;;;;;;;;;
25-34;unknown;36;39;1.08;;;0.40;10.25685393;;;;;;0;;0.00;;;13;;;;;;;;;;;;
